                                                0.NN  ;         1.group ;          14.age ;       15.gender ; 1.SEVERE PERSISTENT ; 1.MODERATE PERSISTENT ; 1.MILD PERSISTENT ;  1.INTERMITTENT ; 2.Secondary cardiomyopathy ; 2.Defiection of nasal septum ; 2.Atopic dermatitis ; 2.Allergic rhinitis ; 3.Number of years from the first symptoms ; 4.Bronchial asthma in mother ; 4.Allergic rhinitis in mother ; 4.Bronchial asthma in father ; 4.Allergic rhinitis in father ; 4.Bronchial asthma in relatives of second generation ;           5.RBC ;           5.HBC ;           5.WBC ; 5.Eosinophils % ;   5.Basophils % ; 5.Band neutrophils % ; 5.Segmented neutrophils % ; 5.Lymphocytes % ;   5.Monocytes % ;           5.ESR ;         6.Color ;    6.Appearance ; 6.Specific gravity ;            6.pH ;    6.Leukocytes ; 6.Transitional epithelial cells ;         6.Mucus ;   7.Chenopodium ;         7.Birch ;     7.Sagebrush ;     7.Sunflower ;       7.Timothy ;    7.Cocks-foot ;           7.Rye ;     7.Elytrigia ;      7.Ryegrass ;         7.Alder ;  7.Fescue grass ;        7.Walnut ;        7.Linden ;      7.Plantain ;        7.Nettle ;     7.Dandelion ;      7.Sumpweed ;       7.Foxtail ;       7.Ragweed ;      7.Chestnut ;       7.Cypress ;         7.Maple ; 8.Domestic dust ; 8.Pillow feather ;       8.Daphnia ;   8.Rabbit hair ;      8.Cat hair ;      8.Dog hair ;    8.Sheep wool ;     9.Egg white ;     9.Carp fish ;  9.Pollack fish ;          9.Milk ;         9.Lemon ;         9.Apple ;   9.Raspberries ;      9.Beetroot ;       9.Cabbage ;          9.Beef ;          9.Pork ;       9.Chicken ;        9.Banana ;    9.Watermelon ;        9.Orange ;     9.Tangerine ;         9.Grape ;         9.Cocoa ;      9.Soybeans ;     9.Black tea ;        9.Tomato ;         9.Beans ;   9.Rice groats ; 9.Buckwheat grits ;  9.Wheat groats ;     9.Oat grits ;    9.Corn grits ;     9.Rye grits ;         10.Lg E ;           11.VC ;          11.FVC ;          11.PEF ; 11.FEF(MEF) 25% ; 11.FEF(MEF) 50% ; 11.FEF(MEF) 75% ;    11.FEV 25-75 ;         11.FEV1 ;    11.FEV/FVC % ;          11.MVV ;   12.Leucocytes ; 12.Neutrophils % ; 12.Neutrophils T ; 12.Lymphocytes % ; 12.Lymphocytes 10*3 cells ;        12.CD3 % ; 12.CD3 10*3 cells ;        12.CD4 % ; 12.CD4 10*3 cells ;        12.CD8 % ; 12.CD8 10*3 cells ;       12.CD16 % ; 12.CD16 10*3 cells ;       12.CD22 % ; 12.CD22 10*3 cells ;       12.CD25 % ; 12.CD25 10*3 cells ;          12.IgA ;          12.IgM ;          12.IgG ; 12.Phagocytosis of latex % ; 12.Phagocytic number ; 12.Total complement (СН 50) ; 12.CIC with 3.5% PEG units ; 12.Spontaneous NBT tests % ; 12.Spontaneous IAN tests units ; 12.Stimulated NBT test % ; 12.Stimulated IAN test units ; 12.Lysosomal cationic proteins units ;         13.TLSP 
                                              1.group ;            1,00 ;            0,11 ;            1,20 ;                2,40 ;                  1,51 ;              0,22 ;           -1,08 ;                       0,35 ;                        -0,21 ;                1,10 ;                1,25 ;                                      0,20 ;                         0,34 ;                         -0,26 ;                         1,03 ;                          0,40 ;                                                 2,15 ;            0,47 ;           -0,00 ;           -0,08 ;            0,02 ;            0,13 ;                 0,02 ;                      0,00 ;           -0,00 ;           -0,06 ;            0,01 ;           -0,32 ;           -0,19 ;               0,01 ;           -0,12 ;            0,02 ;                            0,03 ;            0,23 ;            0,02 ;           -0,03 ;            0,07 ;           -0,15 ;           -0,22 ;           -0,06 ;           -0,11 ;            0,07 ;           -0,13 ;           -0,11 ;            0,25 ;            0,13 ;           -0,31 ;           -0,18 ;            0,02 ;            0,02 ;           -0,14 ;            0,73 ;           -0,03 ;           -0,09 ;            0,53 ;           -0,22 ;            0,18 ;             0,00 ;            0,08 ;            0,16 ;            0,11 ;            0,20 ;            0,06 ;           -0,12 ;           -0,25 ;            0,22 ;            0,34 ;           -0,37 ;           -0,24 ;           -0,05 ;           -1,18 ;           -1,19 ;           -0,80 ;           -0,58 ;           -1,20 ;           -0,13 ;            0,29 ;            0,11 ;            0,27 ;            0,00 ;            0,16 ;            0,42 ;           -0,63 ;           -0,53 ;           -0,80 ;           -0,23 ;             -0,03 ;           -0,50 ;           -0,27 ;            0,37 ;           -0,87 ;            0,67 ;           -0,03 ;            0,00 ;            0,01 ;            0,00 ;            0,00 ;           -0,00 ;           -0,03 ;           -0,02 ;            0,00 ;           -0,00 ;            0,00 ;            -0,01 ;            -0,29 ;             0,01 ;                      0,49 ;            0,03 ;              0,74 ;           -0,13 ;              0,89 ;           -0,10 ;             -1,71 ;           -0,28 ;              -3,47 ;            0,04 ;               0,65 ;           -0,10 ;              -1,93 ;            0,11 ;            0,45 ;            0,05 ;                       0,08 ;                 0,29 ;                       -0,02 ;                      -0,08 ;                      -0,03 ;                          -1,09 ;                     0,02 ;                         0,05 ;                                 0,02 ;            0,02 
                                               14.age ;            0,89 ;            1,00 ;            2,95 ;                2,26 ;                  1,52 ;             -0,09 ;           -1,29 ;                       1,39 ;                         3,81 ;               -0,14 ;                2,53 ;                                      0,61 ;                        -0,94 ;                          3,19 ;                         1,87 ;                         -1,62 ;                                                 2,05 ;            7,96 ;            0,06 ;           -0,25 ;           -0,05 ;           -1,67 ;                 0,51 ;                      0,08 ;           -0,10 ;            0,17 ;           -0,00 ;           -0,30 ;            0,34 ;               0,29 ;           -0,37 ;           -0,09 ;                           -0,06 ;           -0,18 ;            1,83 ;            0,89 ;           -0,34 ;            0,04 ;            0,56 ;            1,56 ;            1,31 ;            0,91 ;            0,49 ;            0,58 ;            0,82 ;           -0,00 ;           -0,34 ;           -0,64 ;            1,23 ;           -0,21 ;           -0,30 ;            0,53 ;            0,03 ;            1,10 ;            0,85 ;            0,83 ;            0,28 ;            -0,00 ;            1,32 ;            1,26 ;            0,52 ;            0,39 ;            0,11 ;           -1,21 ;           -0,89 ;           -1,62 ;           -1,72 ;           -3,71 ;           -2,48 ;            0,14 ;           -2,07 ;           -3,17 ;           -1,38 ;           -1,88 ;           -2,15 ;           -1,25 ;           -2,15 ;           -1,26 ;           -1,07 ;           -1,41 ;           -0,30 ;           -0,43 ;           -1,75 ;           -1,95 ;           -5,17 ;           -1,63 ;             -1,07 ;           -0,69 ;           -2,63 ;           -2,07 ;           -4,68 ;           -0,68 ;           -0,07 ;            0,02 ;            0,00 ;           -0,04 ;           -0,03 ;           -0,06 ;           -0,12 ;           -0,07 ;            0,02 ;            0,01 ;           -0,58 ;             0,08 ;             0,65 ;            -0,08 ;                     -1,55 ;            0,42 ;              0,00 ;            0,33 ;             -1,97 ;            0,42 ;             -4,19 ;           -0,18 ;             -10,46 ;           -0,71 ;             -16,65 ;           -0,11 ;              -3,51 ;           -0,00 ;            0,79 ;            0,86 ;                       0,14 ;                 1,58 ;                        0,07 ;                       0,11 ;                       0,07 ;                          -2,75 ;                     0,06 ;                        -0,30 ;                                -0,12 ;            0,03 
                                            15.gender ;            0,10 ;            0,03 ;            1,00 ;                0,19 ;                  0,09 ;              0,15 ;           -0,06 ;                       0,01 ;                         0,18 ;                0,01 ;                0,16 ;                                      0,03 ;                         0,00 ;                          0,18 ;                         0,20 ;                         -0,12 ;                                                -0,07 ;            0,33 ;            0,00 ;           -0,01 ;            0,01 ;            0,11 ;                 0,05 ;                     -0,00 ;           -0,00 ;            0,01 ;           -0,03 ;           -0,06 ;            0,08 ;               0,01 ;           -0,03 ;           -0,02 ;                           -0,01 ;           -0,06 ;            0,09 ;            0,03 ;           -0,03 ;           -0,01 ;            0,13 ;            0,02 ;            0,06 ;            0,03 ;           -0,08 ;            0,03 ;           -0,07 ;           -0,18 ;           -0,24 ;           -0,09 ;           -0,01 ;            0,01 ;           -0,03 ;            0,04 ;            0,04 ;            0,06 ;           -0,03 ;           -0,01 ;            0,07 ;            -0,03 ;            0,01 ;            0,04 ;           -0,01 ;            0,06 ;           -0,05 ;           -0,03 ;           -0,04 ;           -0,07 ;            0,02 ;           -0,07 ;           -0,06 ;            0,04 ;           -0,20 ;           -0,13 ;            0,14 ;           -0,07 ;           -0,07 ;           -0,21 ;           -0,28 ;            0,05 ;           -0,10 ;           -0,00 ;            0,14 ;           -0,02 ;           -0,00 ;            0,03 ;           -0,20 ;            0,13 ;              0,03 ;            0,14 ;            0,11 ;           -0,24 ;           -0,16 ;           -0,02 ;           -0,00 ;            0,00 ;            0,00 ;           -0,00 ;           -0,00 ;           -0,00 ;           -0,00 ;           -0,00 ;            0,00 ;           -0,00 ;           -0,01 ;             0,00 ;             0,05 ;            -0,00 ;                      0,07 ;            0,01 ;             -0,06 ;            0,03 ;             -0,09 ;            0,04 ;             -0,38 ;           -0,03 ;              -1,10 ;           -0,08 ;              -0,42 ;           -0,01 ;              -0,32 ;           -0,16 ;            0,18 ;            0,02 ;                      -0,00 ;                -0,02 ;                       -0,00 ;                      -0,01 ;                       0,00 ;                          -0,02 ;                    -0,00 ;                         0,00 ;                                -0,02 ;            0,00 
                                  1.SEVERE PERSISTENT ;            0,15 ;            0,02 ;            0,13 ;                1,00 ;                 -0,15 ;             -0,14 ;           -0,14 ;                      -0,12 ;                        -0,12 ;                0,43 ;                0,20 ;                                      0,02 ;                         0,05 ;                         -0,13 ;                         0,03 ;                          0,20 ;                                                 0,70 ;            0,20 ;           -0,00 ;           -0,01 ;            0,02 ;            0,07 ;                -0,04 ;                     -0,00 ;            0,00 ;           -0,01 ;           -0,02 ;           -0,14 ;           -0,01 ;              -0,00 ;           -0,04 ;           -0,00 ;                            0,00 ;           -0,01 ;           -0,00 ;           -0,01 ;            0,01 ;           -0,03 ;           -0,17 ;           -0,04 ;           -0,07 ;            0,01 ;           -0,02 ;           -0,05 ;            0,10 ;           -0,07 ;           -0,15 ;           -0,01 ;           -0,01 ;           -0,01 ;           -0,09 ;            0,21 ;           -0,03 ;           -0,04 ;            0,16 ;           -0,09 ;            0,07 ;             0,12 ;           -0,00 ;            0,07 ;            0,01 ;            0,07 ;            0,16 ;            0,05 ;           -0,07 ;            0,03 ;            0,13 ;           -0,17 ;           -0,03 ;           -0,05 ;           -0,15 ;           -0,15 ;           -0,15 ;           -0,15 ;           -0,15 ;           -0,15 ;           -0,15 ;            0,03 ;            0,09 ;           -0,12 ;            0,12 ;            0,16 ;            0,00 ;           -0,13 ;           -0,15 ;           -0,04 ;             -0,03 ;            0,21 ;           -0,11 ;            0,21 ;           -0,15 ;            0,17 ;           -0,01 ;           -0,00 ;           -0,00 ;            0,00 ;            0,00 ;            0,00 ;           -0,00 ;           -0,00 ;           -0,00 ;           -0,00 ;            0,03 ;             0,01 ;            -0,05 ;            -0,01 ;                     -0,01 ;            0,00 ;             -0,02 ;           -0,01 ;             -0,16 ;            0,01 ;             -0,44 ;           -0,01 ;              -0,53 ;           -0,03 ;              -0,74 ;           -0,01 ;              -0,22 ;           -0,04 ;            0,17 ;            0,04 ;                      -0,00 ;                 0,07 ;                       -0,00 ;                      -0,02 ;                      -0,00 ;                          -0,06 ;                     0,00 ;                        -0,01 ;                                -0,01 ;            0,01 
                                1.MODERATE PERSISTENT ;            0,17 ;            0,02 ;            0,11 ;               -0,27 ;                  1,00 ;             -0,31 ;           -0,31 ;                       0,30 ;                        -0,25 ;               -0,26 ;                0,19 ;                                      0,03 ;                        -0,08 ;                         -0,03 ;                         0,40 ;                         -0,09 ;                                                 0,04 ;           -0,02 ;            0,00 ;           -0,03 ;           -0,01 ;            0,03 ;                 0,07 ;                     -0,00 ;            0,00 ;           -0,00 ;            0,04 ;           -0,13 ;           -0,19 ;               0,01 ;           -0,02 ;            0,02 ;                            0,02 ;            0,19 ;            0,01 ;           -0,03 ;           -0,04 ;           -0,07 ;            0,10 ;            0,04 ;            0,11 ;           -0,02 ;           -0,01 ;           -0,03 ;            0,05 ;            0,25 ;            0,04 ;           -0,05 ;            0,12 ;            0,06 ;           -0,03 ;            0,05 ;           -0,01 ;            0,05 ;            0,07 ;           -0,07 ;            0,01 ;            -0,14 ;            0,07 ;            0,02 ;            0,02 ;           -0,05 ;           -0,18 ;           -0,17 ;           -0,11 ;            0,04 ;           -0,11 ;            0,04 ;           -0,07 ;           -0,01 ;           -0,27 ;           -0,27 ;            0,10 ;            0,16 ;           -0,27 ;            0,10 ;            0,16 ;            0,00 ;            0,07 ;            0,16 ;            0,00 ;            0,08 ;           -0,28 ;           -0,02 ;           -0,27 ;           -0,14 ;             -0,04 ;           -0,27 ;           -0,04 ;            0,04 ;           -0,05 ;            0,02 ;           -0,01 ;            0,01 ;            0,01 ;            0,00 ;           -0,00 ;           -0,00 ;           -0,01 ;           -0,01 ;            0,01 ;            0,00 ;           -0,04 ;            -0,01 ;             0,02 ;             0,01 ;                      0,15 ;            0,02 ;              0,20 ;           -0,03 ;              0,41 ;           -0,03 ;             -0,29 ;           -0,08 ;              -1,05 ;            0,05 ;               0,86 ;           -0,02 ;              -0,40 ;            0,02 ;            0,19 ;           -0,00 ;                       0,02 ;                 0,08 ;                        0,01 ;                      -0,02 ;                       0,00 ;                          -0,15 ;                     0,01 ;                         0,05 ;                                -0,03 ;           -0,00 
                                    1.MILD PERSISTENT ;            0,02 ;           -0,00 ;            0,19 ;               -0,25 ;                 -0,29 ;              1,00 ;           -0,29 ;                      -0,06 ;                         0,46 ;                0,11 ;               -0,09 ;                                      0,01 ;                         0,12 ;                         -0,03 ;                        -0,10 ;                         -0,26 ;                                                -0,22 ;           -0,05 ;            0,00 ;            0,01 ;           -0,01 ;           -0,16 ;                -0,00 ;                      0,01 ;           -0,01 ;           -0,02 ;           -0,00 ;            0,36 ;            0,21 ;               0,01 ;            0,02 ;           -0,00 ;                            0,00 ;           -0,11 ;           -0,01 ;            0,06 ;            0,10 ;            0,06 ;            0,08 ;           -0,03 ;           -0,10 ;            0,07 ;           -0,04 ;            0,08 ;           -0,13 ;           -0,14 ;            0,06 ;           -0,02 ;           -0,17 ;           -0,06 ;            0,18 ;            0,00 ;            0,07 ;           -0,08 ;           -0,07 ;            0,22 ;           -0,05 ;            -0,09 ;           -0,03 ;           -0,10 ;            0,03 ;            0,08 ;           -0,02 ;            0,05 ;            0,18 ;            0,06 ;            0,17 ;            0,06 ;           -0,00 ;            0,11 ;           -0,30 ;           -0,03 ;           -0,30 ;           -0,30 ;           -0,30 ;            0,06 ;            0,34 ;           -0,03 ;           -0,21 ;            0,01 ;           -0,30 ;           -0,22 ;            0,01 ;           -0,05 ;            0,06 ;            0,21 ;              0,18 ;           -0,30 ;            0,10 ;           -0,30 ;           -0,30 ;            0,00 ;            0,00 ;           -0,01 ;           -0,01 ;           -0,00 ;            0,00 ;           -0,00 ;            0,00 ;            0,00 ;           -0,01 ;           -0,00 ;           -0,01 ;            -0,00 ;            -0,05 ;             0,00 ;                      0,04 ;           -0,01 ;              0,15 ;            0,02 ;              0,32 ;            0,00 ;              0,57 ;            0,01 ;               1,17 ;            0,02 ;               0,71 ;            0,00 ;               0,24 ;            0,02 ;           -0,31 ;           -0,08 ;                       0,02 ;                -0,09 ;                       -0,03 ;                       0,06 ;                      -0,01 ;                          -0,24 ;                    -0,01 ;                        -0,03 ;                                 0,10 ;           -0,00 
                                       1.INTERMITTENT ;           -0,11 ;           -0,02 ;           -0,08 ;               -0,25 ;                 -0,29 ;             -0,29 ;            1,00 ;                       0,11 ;                         0,11 ;               -0,06 ;                0,06 ;                                     -0,00 ;                         0,14 ;                          0,42 ;                        -0,09 ;                          0,39 ;                                                -0,26 ;           -0,12 ;            0,00 ;            0,03 ;            0,01 ;            0,06 ;                -0,03 ;                     -0,01 ;            0,01 ;            0,03 ;           -0,02 ;           -0,09 ;           -0,01 ;              -0,02 ;            0,03 ;           -0,01 ;                           -0,02 ;           -0,07 ;           -0,01 ;           -0,02 ;           -0,07 ;            0,03 ;           -0,01 ;            0,03 ;            0,07 ;           -0,06 ;            0,07 ;           -0,00 ;           -0,02 ;           -0,04 ;            0,06 ;            0,09 ;            0,08 ;            0,01 ;           -0,06 ;           -0,26 ;           -0,03 ;            0,07 ;           -0,15 ;           -0,05 ;           -0,03 ;             0,11 ;           -0,03 ;            0,01 ;           -0,07 ;           -0,11 ;            0,05 ;            0,05 ;           -0,01 ;           -0,13 ;           -0,19 ;            0,06 ;            0,10 ;           -0,06 ;            0,76 ;            0,25 ;            0,06 ;            0,14 ;            0,78 ;            0,06 ;           -0,30 ;            0,05 ;            0,11 ;            0,01 ;            0,25 ;            0,05 ;            0,18 ;            0,15 ;            0,42 ;           -0,07 ;             -0,14 ;            0,06 ;            0,10 ;            0,06 ;            0,51 ;           -0,10 ;            0,01 ;            0,00 ;           -0,00 ;            0,00 ;           -0,00 ;            0,00 ;            0,01 ;            0,01 ;            0,00 ;            0,00 ;            0,03 ;            -0,00 ;            -0,06 ;             0,00 ;                      0,02 ;           -0,02 ;             -0,09 ;           -0,05 ;             -0,31 ;           -0,05 ;             -0,22 ;           -0,03 ;              -0,65 ;           -0,00 ;              -0,42 ;           -0,01 ;              -0,28 ;            0,19 ;           -0,11 ;            0,03 ;                      -0,01 ;                -0,03 ;                        0,01 ;                      -0,05 ;                      -0,00 ;                           0,07 ;                    -0,00 ;                        -0,02 ;                                -0,03 ;           -0,00 
                           2.Secondary cardiomyopathy ;            0,01 ;            0,01 ;            0,01 ;               -0,08 ;                  0,11 ;             -0,02 ;            0,04 ;                       1,00 ;                        -0,08 ;               -0,08 ;                0,17 ;                                      0,01 ;                        -0,09 ;                          0,33 ;                         0,07 ;                          0,07 ;                                                -0,09 ;            0,22 ;            0,00 ;            0,01 ;           -0,01 ;            0,03 ;                 0,06 ;                      0,01 ;           -0,01 ;           -0,01 ;            0,03 ;            0,16 ;           -0,00 ;               0,01 ;           -0,01 ;            0,02 ;                            0,04 ;            0,10 ;           -0,02 ;            0,00 ;           -0,02 ;           -0,04 ;           -0,07 ;           -0,01 ;            0,08 ;           -0,04 ;           -0,07 ;           -0,02 ;            0,03 ;           -0,01 ;            0,25 ;           -0,07 ;            0,02 ;           -0,03 ;           -0,05 ;           -0,09 ;           -0,03 ;            0,06 ;           -0,04 ;           -0,04 ;           -0,05 ;            -0,04 ;           -0,00 ;           -0,03 ;           -0,03 ;           -0,07 ;           -0,08 ;           -0,07 ;           -0,05 ;           -0,10 ;           -0,00 ;           -0,01 ;           -0,03 ;           -0,03 ;           -0,10 ;           -0,10 ;           -0,10 ;           -0,10 ;           -0,10 ;           -0,10 ;            0,12 ;            0,06 ;           -0,02 ;            0,04 ;           -0,10 ;            0,06 ;           -0,10 ;           -0,09 ;           -0,10 ;           -0,08 ;             -0,07 ;           -0,10 ;            0,01 ;           -0,10 ;            0,16 ;           -0,22 ;           -0,01 ;           -0,00 ;           -0,00 ;           -0,00 ;            0,00 ;           -0,00 ;           -0,01 ;           -0,00 ;           -0,00 ;            0,00 ;           -0,01 ;            -0,01 ;            -0,09 ;             0,01 ;                      0,17 ;           -0,00 ;              0,13 ;            0,00 ;              0,19 ;           -0,01 ;              0,11 ;            0,01 ;               0,23 ;           -0,03 ;               0,49 ;           -0,01 ;              -0,12 ;            0,12 ;            0,18 ;            0,02 ;                       0,01 ;                 0,08 ;                        0,00 ;                       0,01 ;                       0,00 ;                          -0,06 ;                    -0,00 ;                        -0,02 ;                                -0,01 ;           -0,00 
                         2.Defiection of nasal septum ;           -0,00 ;            0,01 ;            0,05 ;               -0,04 ;                 -0,05 ;              0,10 ;            0,02 ;                      -0,04 ;                         1,00 ;               -0,04 ;               -0,02 ;                                      0,01 ;                         0,14 ;                         -0,05 ;                        -0,05 ;                         -0,05 ;                                                -0,05 ;            0,08 ;            0,00 ;           -0,02 ;           -0,01 ;           -0,04 ;                -0,02 ;                      0,00 ;           -0,00 ;            0,01 ;           -0,00 ;            0,02 ;           -0,00 ;              -0,01 ;            0,00 ;           -0,00 ;                           -0,00 ;           -0,07 ;            0,14 ;            0,01 ;           -0,01 ;            0,06 ;           -0,06 ;           -0,01 ;           -0,02 ;            0,02 ;           -0,01 ;           -0,02 ;           -0,03 ;           -0,06 ;            0,30 ;            0,06 ;           -0,04 ;           -0,01 ;            0,01 ;            0,02 ;            0,01 ;            0,00 ;           -0,04 ;            0,08 ;           -0,03 ;             0,02 ;           -0,00 ;            0,00 ;           -0,03 ;           -0,01 ;           -0,02 ;           -0,04 ;           -0,02 ;           -0,05 ;           -0,05 ;           -0,06 ;            0,01 ;            0,20 ;           -0,05 ;           -0,05 ;           -0,05 ;           -0,05 ;           -0,05 ;           -0,05 ;           -0,05 ;           -0,04 ;           -0,05 ;           -0,04 ;           -0,05 ;           -0,04 ;           -0,05 ;           -0,04 ;           -0,05 ;           -0,04 ;             -0,04 ;           -0,05 ;           -0,04 ;           -0,05 ;           -0,05 ;           -0,16 ;           -0,00 ;           -0,00 ;           -0,00 ;           -0,00 ;           -0,00 ;           -0,00 ;           -0,01 ;           -0,00 ;           -0,00 ;           -0,00 ;            0,00 ;            -0,00 ;            -0,05 ;             0,00 ;                      0,01 ;            0,00 ;              0,06 ;            0,00 ;              0,06 ;            0,01 ;              0,14 ;            0,01 ;               0,11 ;           -0,01 ;               0,06 ;           -0,00 ;              -0,07 ;            0,12 ;           -0,04 ;           -0,01 ;                       0,01 ;                 0,01 ;                       -0,00 ;                       0,04 ;                      -0,00 ;                          -0,11 ;                    -0,00 ;                        -0,01 ;                                 0,02 ;            0,00 
                                  2.Atopic dermatitis ;            0,04 ;           -0,00 ;            0,01 ;                0,28 ;                 -0,10 ;              0,04 ;           -0,02 ;                      -0,08 ;                        -0,08 ;                1,00 ;                0,07 ;                                      0,01 ;                         0,10 ;                         -0,08 ;                         0,07 ;                          0,22 ;                                                -0,09 ;           -0,01 ;            0,00 ;           -0,02 ;            0,01 ;           -0,09 ;                -0,02 ;                     -0,00 ;            0,00 ;            0,00 ;           -0,04 ;            0,03 ;           -0,00 ;              -0,00 ;           -0,03 ;            0,00 ;                           -0,00 ;            0,06 ;           -0,05 ;            0,00 ;            0,01 ;            0,07 ;           -0,07 ;           -0,05 ;           -0,05 ;           -0,04 ;           -0,07 ;           -0,02 ;           -0,01 ;           -0,11 ;           -0,10 ;           -0,01 ;           -0,02 ;            0,03 ;           -0,01 ;            0,11 ;            0,02 ;           -0,04 ;            0,00 ;            0,10 ;            0,05 ;            -0,01 ;           -0,05 ;            0,03 ;           -0,01 ;            0,04 ;            0,03 ;            0,14 ;           -0,05 ;            0,08 ;            0,35 ;           -0,01 ;            0,17 ;           -0,03 ;           -0,10 ;           -0,10 ;           -0,10 ;           -0,10 ;           -0,10 ;            0,08 ;           -0,10 ;            0,06 ;            0,22 ;           -0,08 ;            0,16 ;            0,19 ;            0,06 ;            0,02 ;            0,25 ;            0,19 ;              0,01 ;            0,25 ;           -0,07 ;            0,25 ;            0,16 ;            0,11 ;           -0,00 ;           -0,00 ;           -0,00 ;            0,00 ;            0,00 ;            0,00 ;            0,00 ;            0,00 ;           -0,00 ;            0,00 ;           -0,01 ;             0,00 ;            -0,07 ;            -0,00 ;                      0,01 ;           -0,01 ;             -0,01 ;           -0,03 ;             -0,13 ;           -0,01 ;             -0,29 ;           -0,01 ;              -0,23 ;            0,02 ;              -0,44 ;           -0,00 ;              -0,02 ;           -0,21 ;           -0,08 ;           -0,03 ;                       0,00 ;                -0,00 ;                       -0,01 ;                      -0,02 ;                       0,00 ;                           0,15 ;                     0,00 ;                         0,00 ;                                 0,03 ;            0,00 
